tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
238.00,337277984#4_0,105.67,10.22,21.00,0.00,40668087#0_0,5.10,0.00,tripinfo_21 fcd_21,217.00,21,0,892.37,1.01,0.00,116.52,DEFAULT_VEHTYPE,,4,78.00
238.00,492471759#7_0,180.68,8.48,94.00,0.00,40668087#3_0,5.10,0.00,tripinfo_94 fcd_94,144.00,94,0,734.22,1.09,0.00,62.56,DEFAULT_VEHTYPE,,2,38.00
238.00,567060342#1_0,65.54,7.65,190.00,2.00,553352498#3_0,5.10,0.00,tripinfo_188 fcd_188,48.00,188,0,214.00,0.97,0.00,20.80,DEFAULT_VEHTYPE,,1,8.00
240.00,337277984#3_0,29.42,9.63,83.00,0.00,492471759#4_0,5.10,0.00,tripinfo_83 fcd_83,157.00,83,0,540.50,0.97,0.00,98.48,DEFAULT_VEHTYPE,,2,75.00
240.00,337277970#1_1,79.16,7.83,124.00,10.00,42143912#3_0,5.10,0.00,tripinfo_114 fcd_114,116.00,114,0,297.07,1.10,0.00,82.85,DEFAULT_VEHTYPE,,2,65.00
240.00,337277977#0_0,104.44,8.36,124.00,0.00,42141326#10_0,5.10,0.00,tripinfo_124 fcd_124,116.00,124,0,423.67,1.06,0.00,76.06,DEFAULT_VEHTYPE,,2,62.00
243.00,49217121_0,99.72,7.08,14.00,0.00,337277984#0_0,5.10,0.00,tripinfo_14 fcd_14,229.00,14,0,965.17,0.99,0.00,116.48,DEFAULT_VEHTYPE,,4,77.00
244.00,337277977#0_0,104.44,7.72,70.00,0.00,42141326#0_0,5.10,0.00,tripinfo_70 fcd_70,174.00,70,0,1065.73,1.02,0.00,76.09,DEFAULT_VEHTYPE,,2,54.00
244.00,42141326#12_1,91.65,12.00,221.00,0.00,42143912#1_0,5.10,0.00,tripinfo_221 fcd_221,23.00,221,0,198.99,1.15,0.00,4.21,DEFAULT_VEHTYPE,,0,0.00
246.00,337277957#3_0,112.97,7.39,115.00,0.00,49217110#1_0,5.10,0.00,tripinfo_115 fcd_115,131.00,115,0,554.18,0.92,0.00,58.51,DEFAULT_VEHTYPE,,1,46.00
247.00,49217121_0,99.72,8.89,38.00,0.00,42143912#3_0,5.10,0.00,tripinfo_38 fcd_38,209.00,38,0,630.48,1.10,0.00,139.07,DEFAULT_VEHTYPE,,4,101.00
247.00,337277957#4_1,112.04,9.19,141.00,0.00,49217121_0,5.10,0.00,tripinfo_141 fcd_141,106.00,141,0,658.77,1.16,0.00,36.69,DEFAULT_VEHTYPE,,1,17.00
249.00,337277984#4_0,105.67,10.45,63.00,0.00,553352498#0_0,5.10,0.00,tripinfo_63 fcd_63,186.00,63,0,1120.80,0.99,0.00,59.98,DEFAULT_VEHTYPE,,1,43.00
253.00,40668087#4_0,102.90,7.09,15.00,0.00,337277981#1_0,5.10,0.00,tripinfo_15 fcd_15,238.00,15,0,819.14,0.93,0.00,137.32,DEFAULT_VEHTYPE,,5,109.00
255.00,542429228_0,102.32,4.12,23.00,0.00,45429543#1_0,5.10,0.00,tripinfo_23 fcd_23,232.00,23,0,879.92,0.89,0.00,111.41,DEFAULT_VEHTYPE,,4,80.00
255.00,49217108#2_0,87.62,7.65,123.00,0.00,40668087#4_0,5.10,0.00,tripinfo_123 fcd_123,132.00,123,0,417.10,1.02,0.00,81.45,DEFAULT_VEHTYPE,,3,45.00
256.00,337277984#5_0,114.84,8.59,48.00,0.00,542428845#0_0,5.10,0.00,tripinfo_48 fcd_48,208.00,48,0,762.74,0.88,0.00,113.54,DEFAULT_VEHTYPE,,4,82.00
